Fieldwork date,Polling firm,poll,party
6/10/2019,Jiji Press,27.703125,LDP
6/16/2019,Kyodo News,39.1875,LDP
6/16/2019,Mainichi Shimbun,29,LDP
6/23/2019,Asahi Shimbun,37,LDP
6/23/2019,NHK,31.59375,LDP
6/27/2019,Kyodo News,37.90625,LDP
6/30/2019,Yomiuri Shimbun,39,LDP
6/30/2019,Nikkei & TV Tokyo,42,LDP
6/30/2019,NHK,34.90625,LDP
7/5/2019,Yomiuri Shimbun,38,LDP
7/7/2019,NHK,33.40625,LDP
7/7/2019,JNN,40,LDP
7/8/2019,Jiji Press,25.796875,LDP
7/14/2019,Asahi Shimbun,34,LDP
7/15/2019,NHK,34.1875,LDP
7/23/2019,Asahi Shimbun,34,LDP
7/23/2019,Kyodo News,37,LDP
7/23/2019,Yomiuri Shimbun,40,LDP
7/28/2019,Nikkei & TV Tokyo,37,LDP
8/4/2019,NHK,36.09375,LDP
8/4/2019,JNN,37.40625,LDP
8/12/2019,Jiji Press,28,LDP
8/18/2019,Kyodo News,40.90625,LDP
8/18/2019,ANN,44.3125,LDP
8/25/2019,Yomiuri Shimbun,41,LDP
9/1/2019,Nikkei & TV Tokyo,40,LDP
9/8/2019,JNN,37.90625,LDP
9/8/2019,NHK,37.3125,LDP
9/9/2019,Jiji Press,25.90625,LDP
9/12/2019,Kyodo News,47.6875,LDP
9/12/2019,Nikkei & TV Tokyo,47,LDP
9/15/2019,Yomiuri Shimbun,38,LDP
9/15/2019,Mainichi Shimbun,34,LDP
9/15/2019,ANN,46.90625,LDP
9/15/2019,Asahi Shimbun,37,LDP
10/6/2019,Kyodo News,42.09375,LDP
10/6/2019,JNN,40.09375,LDP
10/14/2019,Jiji Press,27.5,LDP
10/20/2019,Yomiuri Shimbun,42,LDP
10/20/2019,Asahi Shimbun,35,LDP
10/20/2019,ANN,45.59375,LDP
10/27/2019,Kyodo News,44.59375,LDP
10/27/2019,Mainichi Shimbun,36,LDP
10/27/2019,Nikkei & TV Tokyo,46,LDP
11/10/2019,ANN,45.6875,LDP
11/10/2019,go2senkyo & JX,35.5,LDP
11/10/2019,Jiji Press,30.09375,LDP
11/10/2019,JNN,38.1875,LDP
11/10/2019,NHK,36.8125,LDP
11/17/2019,Yomiuri Shimbun,37,LDP
11/17/2019,Asahi Shimbun,36,LDP
11/24/2019,Nikkei & TV Tokyo,39,LDP
11/24/2019,Kyodo News,41.8125,LDP
12/1/2019,Mainichi Shimbun,36,LDP
12/8/2019,NHK,36.09375,LDP
12/8/2019,JNN,35.09375,LDP
12/9/2019,Mainichi & SSRC,38,LDP
12/9/2019,Jiji Press,23,LDP
12/15/2019,Yomiuri Shimbun,37,LDP
12/15/2019,Kyodo News,36,LDP
12/15/2019,ANN,45.59375,LDP
12/15/2019,go2senkyo & JX,31.59375,LDP
12/22/2019,Asahi Shimbun,34,LDP
12/22/2019,Nikkei & TV Tokyo,41,LDP
1/12/2020,JNN,38.59375,LDP
1/12/2020,go2senkyo & JX,29.703125,LDP
1/12/2020,Kyodo News,43.1875,LDP
1/13/2020,Jiji Press,24.90625,LDP
1/13/2020,NHK,40,LDP
1/19/2020,Yomiuri Shimbun,41,LDP
1/19/2020,Mainichi Shimbun,34,LDP
1/19/2020,ANN,45,LDP
1/26/2020,Nikkei & TV Tokyo,45,LDP
1/26/2020,Asahi Shimbun,34,LDP
2/2/2020,JNN,38.1875,LDP
2/9/2020,Jiji Press,24.296875,LDP
2/9/2020,NHK,37.40625,LDP
2/15/2020,Yomiuri Shimbun,40,LDP
2/16/2020,go2senkyo & JX,32.09375,LDP
2/16/2020,Asahi Shimbun,34,LDP
2/16/2020,Kyodo News,40.5,LDP
2/16/2020,ANN,45.40625,LDP
2/23/2020,Nikkei & TV Tokyo,39,LDP
3/1/2020,go2senkyo & JX,31.59375,LDP
3/1/2020,go2senkyo & JX,32,LDP
3/8/2020,NHK,36.5,LDP
3/8/2020,JNN,36.40625,LDP
3/9/2020,Jiji Press,24,LDP
3/15/2020,Mainichi Shimbun,33,LDP
3/15/2020,Asahi Shimbun,36,LDP
3/16/2020,Kyodo News,40,LDP
3/22/2020,Yomiuri Shimbun,35,LDP
3/22/2020,ANN,43.5,LDP
3/28/2020,Kyodo News,37,LDP
3/29/2020,Nikkei & TV Tokyo,37,LDP
4/5/2020,JNN,34.3125,LDP
4/9/2020,"Mainichi, JNN, & SSRC",34,LDP
4/12/2020,go2senkyo & JX,29.203125,LDP
4/12/2020,NHK,33.3125,LDP
4/12/2020,Yomiuri Shimbun,34,LDP
4/13/2020,Asahi Shimbun,37,LDP
4/13/2020,Kyodo News,33.09375,LDP
4/19/2020,Mainichi Shimbun,29,LDP
4/19/2020,Asahi Shimbun,33,LDP
5/10/2020,Yomiuri Shimbun,34,LDP
5/10/2020,Kyodo News,35.09375,LDP
5/10/2020,Nikkei & TV Tokyo,34,LDP
5/10/2020,JNN,35.90625,LDP
5/17/2020,ANN,35.5,LDP
5/17/2020,go2senkyo & JX,28.796875,LDP
5/24/2020,Mainichi & SSRC,25,LDP
5/24/2020,Asahi Shimbun,26,LDP
5/31/2020,Kyodo News,37.40625,LDP
6/1/2020,Jiji Press,30.90625,LDP
6/7/2020,Yomiuri Shimbun,34,LDP
6/7/2020,Nikkei & TV Tokyo,30,LDP
6/7/2020,JNN,34.40625,LDP
6/14/2020,go2senkyo & JX,29.203125,LDP
6/20/2020,Mainichi & SSRC,31,LDP
6/21/2020,Asahi Shimbun,29,LDP
6/21/2020,Kyodo News,37.3125,LDP
6/21/2020,ANN,43,LDP
6/22/2020,Jiji Press,33.90625,LDP
7/5/2020,Yomiuri Shimbun,32,LDP
7/5/2020,JNN,35.8125,LDP
7/12/2020,go2senkyo & JX,29.296875,LDP
7/13/2020,Jiji Press,26,LDP
7/19/2020,ANN,40.3125,LDP
7/19/2020,Asahi Shimbun,30,LDP
7/19/2020,Kyodo News,31.90625,LDP
7/19/2020,Nikkei & TV Tokyo,35,LDP
7/19/2020,Mainichi & SSRC,29,LDP
8/2/2020,JNN,32,LDP
8/23/2020,ANN,42.8125,LDP
9/3/2020,Mainichi and JNN,40,LDP
9/6/2020,JNN,43.1875,LDP
9/17/2020,Nikkei,52,LDP
9/17/2020,Asahi Shimbun,41,LDP
9/20/2020,Yomiuri-NNN,47,LDP
9/20/2020,ANN,53.90625,LDP
9/22/2020,NHK,40.8125,LDP
10/4/2020,JNN,40.6875,LDP
10/11/2020,NHK,37,LDP
10/12/2020,Jiji Press,26.40625,LDP
10/18/2020,Yomiuri-NNN,42,LDP
10/18/2020,ANN,49.40625,LDP
10/18/2020,Asahi Shimbun,39,LDP
10/25/2020,Nikkei,45,LDP
11/8/2020,NHK,36.8125,LDP
11/8/2020,JNN,40.40625,LDP
11/8/2020,Yomiuri-NNN,48,LDP
11/9/2020,Jiji Press,25.703125,LDP
11/15/2020,Asahi Shimbun,39,LDP
11/15/2020,ANN,48.1875,LDP
11/17/2020,Yomiuri-Waseda,40,LDP
11/29/2020,Nikkei,49,LDP
12/6/2020,Yomiuri-NNN,42,LDP
12/6/2020,Kyodo News,41.5,LDP
12/6/2020,JNN,38,LDP
12/7/2020,Jiji Press,24.703125,LDP
12/13/2020,NHK,38.1875,LDP
12/20/2020,ANN,47,LDP
12/27/2020,Nikkei,42,LDP
12/27/2020,Yomiuri-NNN,38,LDP
1/10/2021,Kyodo News,41.1875,LDP
1/10/2021,JNN,34.1875,LDP
1/11/2021,Jiji Press,23.703125,LDP
1/11/2021,NHK,37.8125,LDP
1/17/2021,Yomiuri-NNN,37,LDP
1/17/2021,ANN,45.6875,LDP
1/24/2021,FNN-Sankei,39.09375,LDP
1/31/2021,Nikkei,44,LDP
2/7/2021,Yomiuri-NNN,37,LDP
2/7/2021,JNN,36.6875,LDP
2/7/2021,Jiji Press,25.5,LDP
2/7/2021,NHK,35.09375,LDP
2/14/2021,ANN,45.1875,LDP
2/14/2021,Asahi Shimbun,33,LDP
2/21/2021,FNN-Sankei,38.59375,LDP
2/28/2021,Nikkei,45,LDP
3/7/2021,JNN,38.3125,LDP
3/7/2021,Yomiuri-NNN,40,LDP
3/7/2021,NHK,35.59375,LDP
3/8/2021,Jiji Press,23,LDP
3/14/2021,FNN-Sankei,40.09375,LDP
3/21/2021,Asahi Shimbun,33,LDP
3/21/2021,ANN,43.6875,LDP
3/28/2021,Nikkei,43,LDP
4/1/2021,Mainichi Shimbun,31,LDP
4/4/2021,JNN,35.59375,LDP
4/4/2021,Yomiuri-NNN,39,LDP
4/11/2021,NHK,37.40625,LDP
4/11/2021,Asahi Shimbun,35,LDP
4/12/2021,Asahi Shimbun,38,LDP
4/12/2021,Jiji Press,22.5,LDP
4/18/2021,ANN,45.09375,LDP
4/18/2021,FNN-Sankei,39.1875,LDP
4/25/2021,Nikkei,47,LDP
5/9/2021,NHK,33.6875,LDP
5/9/2021,JNN,37.1875,LDP
5/9/2021,Yomiuri-NNN,37,LDP
5/10/2021,Jiji Press,21.40625,LDP
5/16/2021,Kyodo News,41.90625,LDP
5/16/2021,FNN-Sankei,35.3125,LDP
5/16/2021,go2senkyo,26.203125,LDP
5/16/2021,ANN,44.90625,LDP
5/16/2021,Asahi Shimbun,30,LDP
5/30/2021,Nikkei,42,LDP
6/1/2021,Mainichi Shimbun,30,LDP
6/6/2021,Yomiuri-NNN,33,LDP
6/6/2021,JNN,34.3125,LDP
6/13/2021,NHK,35.8125,LDP
6/13/2021,go2senkyo,25.40625,LDP
6/14/2021,Jiji Press,22.796875,LDP
6/20/2021,FNN-Sankei,37,LDP
6/20/2021,ANN,41.8125,LDP
6/20/2021,Asahi Shimbun,31,LDP
6/27/2021,Nikkei,43,LDP
7/1/2021,Mainichi Shimbun,28,LDP
7/4/2021,JNN,33.59375,LDP
7/11/2021,Yomiuri-NNN,36,LDP
7/11/2021,go2senkyo,28.59375,LDP
7/11/2021,NHK,34.90625,LDP
7/12/2021,Jiji Press,21.40625,LDP
7/18/2021,FNN-Sankei,36.3125,LDP
7/18/2021,ANN,42.3125,LDP
7/25/2021,Nikkei,38,LDP
8/1/2021,Mainichi Shimbun,26,LDP
8/8/2021,Asahi Shimbun,32,LDP
8/8/2021,JNN,32.40625,LDP
8/9/2021,Yomiuri-NNN,32,LDP
8/9/2021,Jiji Press,23.703125,LDP
8/9/2021,NHK,33.40625,LDP
8/15/2021,go2senkyo,29.09375,LDP
8/22/2021,ANN,46.59375,LDP
8/22/2021,FNN-Sankei,35.59375,LDP
9/1/2021,Mainichi Shimbun,37,LDP
9/5/2021,Yomiuri Shimbun,36,LDP
9/11/2021,Nikkei,48,LDP
9/12/2021,NHK,37.59375,LDP
9/12/2021,Asahi Shimbun,37,LDP
9/13/2021,Jiji Press,26.5,LDP
9/19/2021,FNN-Sankei,43.5,LDP
9/19/2021,ANN,49.40625,LDP
9/25/2021,Nikkei,47,LDP
10/5/2021,Nikkei & TV Tokyo,51,LDP
10/5/2021,Yomiuri Shimbun,43,LDP
10/5/2021,Asahi Shimbun,37,LDP
10/10/2021,Green Ship,42.90625,LDP
10/10/2021,FNN-Sankei,45.3125,LDP
10/10/2021,NHK,41.1875,LDP
10/10/2021,JNN,41.5,LDP
10/15/2021,Yomiuri Shimbun,40,LDP
10/17/2021,NHK,38.8125,LDP
10/17/2021,ANN,49.90625,LDP
10/17/2021,go2senkyo,31.59375,LDP
10/17/2021,Kyodo News,49.09375,LDP
10/20/2021,Asahi Shimbun,34,LDP
10/20/2021,Mainichi Shimbun,41,LDP
10/24/2021,go2senkyo,32.1875,LDP
10/24/2021,NHK,38.59375,LDP
1/8/2018,NHK,9.203125,CDP
1/14/2018,Yomiuri Shimbun,8,CDP
1/14/2018,JNN,11.296875,CDP
1/14/2018,Kyodo News,12.703125,CDP
1/15/2018,Jiji Press,6.19921875,CDP
1/21/2018,Mainichi Shimbun,14,CDP
1/21/2018,ANN,16.59375,CDP
1/21/2018,Asahi Shimbun,9,CDP
1/28/2018,NTV,13,CDP
1/28/2018,Nikkei,9,CDP
2/4/2018,JNN,10.6015625,CDP
2/11/2018,Yomiuri Shimbun,9,CDP
2/11/2018,Kyodo News,10.8984375,CDP
2/12/2018,Jiji Press,4.19921875,CDP
2/12/2018,NHK,8.296875,CDP
2/18/2018,Asahi Shimbun,10,CDP
2/18/2018,NTV,11.1015625,CDP
2/25/2018,Mainichi Shimbun,13,CDP
2/25/2018,ANN,13.296875,CDP
2/25/2018,Nikkei,11,CDP
3/4/2018,Kyodo News,11.1015625,CDP
3/4/2018,JNN,11.3984375,CDP
3/11/2018,Yomiuri Shimbun,9,CDP
3/11/2018,NHK,10.203125,CDP
3/12/2018,Jiji Press,5.30078125,CDP
3/18/2018,Asahi Shimbun,11,CDP
3/18/2018,Kyodo News,11.5,CDP
3/18/2018,Mainichi Shimbun,13,CDP
3/18/2018,NTV,10.296875,CDP
3/25/2018,Nikkei & TV Tokyo,12,CDP
3/25/2018,ANN,16.203125,CDP
4/1/2018,Kyodo News,14.203125,CDP
4/1/2018,Yomiuri Shimbun,9,CDP
4/8/2018,NHK,8.5,CDP
4/8/2018,JNN,8.796875,CDP
4/9/2018,Jiji Press,5.1015625,CDP
4/15/2018,NTV,9.5,CDP
4/15/2018,Asahi Shimbun,10,CDP
4/22/2018,Mainichi Shimbun,13,CDP
4/22/2018,ANN,13.6015625,CDP
4/22/2018,Yomiuri Shimbun,10,CDP
4/25/2018,Asahi Shimbun,12,CDP
4/29/2018,Nikkei & TV Tokyo,14,CDP
5/13/2018,Kyodo News,13.296875,CDP
5/13/2018,JNN,8.296875,CDP
5/13/2018,NHK,7.8984375,CDP
5/14/2018,Jiji Press,5,CDP
5/20/2018,Yomiuri Shimbun,7,CDP
5/20/2018,NTV,12.203125,CDP
5/20/2018,Asahi Shimbun,9,CDP
5/20/2018,ANN,15.203125,CDP
5/27/2018,Mainichi Shimbun,13,CDP
5/27/2018,Nikkei & TV Tokyo,12,CDP
6/3/2018,JNN,10.703125,CDP
6/10/2018,NHK,8.8984375,CDP
6/11/2018,Jiji Press,5.19921875,CDP
6/17/2018,ANN,11.203125,CDP
6/17/2018,Asahi Shimbun,9,CDP
6/17/2018,NTV,10.203125,CDP
6/17/2018,Yomiuri Shimbun,6,CDP
6/24/2018,Nikkei & TV Tokyo,9,CDP
6/24/2018,Mainichi Shimbun,11,CDP
7/8/2018,JNN,8,CDP
7/8/2018,NHK,7.5,CDP
7/9/2018,Jiji Press,4.69921875,CDP
7/15/2018,Asahi Shimbun,8,CDP
7/22/2018,Kyodo News,12.3984375,CDP
7/22/2018,Yomiuri Shimbun,8,CDP
7/22/2018,Nikkei & TV Tokyo,12,CDP
7/22/2018,ANN,13.1015625,CDP
7/29/2018,Mainichi Shimbun,10,CDP
8/5/2018,NHK,5.6015625,CDP
8/5/2018,JNN,7.5,CDP
8/5/2018,Asahi Shimbun,6,CDP
8/6/2018,Jiji Press,4.6015625,CDP
8/19/2018,ANN,10.703125,CDP
8/26/2018,Nikkei & TV Tokyo,10,CDP
8/26/2018,Yomiuri Shimbun,4,CDP
8/26/2018,Kyodo News,8.796875,CDP
9/2/2018,JNN,5.5,CDP
9/2/2018,Mainichi Shimbun,9,CDP
9/9/2018,Asahi Shimbun,5,CDP
9/10/2018,Jiji Press,4.3984375,CDP
9/16/2018,ANN,6.69921875,CDP
9/17/2018,NHK,4.80078125,CDP
9/21/2018,Kyodo News,6.30078125,CDP
9/23/2018,Nikkei & TV Tokyo,6,CDP
9/23/2018,Yomiuri Shimbun,6,CDP
10/3/2018,Nikkei & TV Tokyo,8,CDP
10/3/2018,Kyodo News,8.703125,CDP
10/3/2018,Yomiuri Shimbun,5,CDP
10/7/2018,Mainichi Shimbun,11,CDP
10/8/2018,NHK,6.1015625,CDP
10/8/2018,Jiji Press,4.5,CDP
10/14/2018,Asahi Shimbun,6,CDP
10/14/2018,JNN,5.30078125,CDP
10/21/2018,ANN,10.3984375,CDP
10/28/2018,Yomiuri Shimbun,5,CDP
10/28/2018,Nikkei & TV Tokyo,9,CDP
11/4/2018,Kyodo News,9.1015625,CDP
11/4/2018,JNN,4.8984375,CDP
11/11/2018,NHK,6.19921875,CDP
11/12/2018,Jiji Press,4.30078125,CDP
11/18/2018,Mainichi Shimbun,12,CDP
11/18/2018,ANN,10.203125,CDP
11/18/2018,Asahi Shimbun,7,CDP
11/25/2018,Yomiuri Shimbun,7,CDP
11/25/2018,Nikkei & TV Tokyo,9,CDP
12/2/2018,JNN,6.3984375,CDP
12/9/2018,NHK,7.6015625,CDP
12/10/2018,Mainichi & SSRC,7,CDP
12/10/2018,Jiji Press,4.6015625,CDP
12/16/2018,Yomiuri Shimbun,8,CDP
12/16/2018,Nikkei & TV Tokyo,9,CDP
12/16/2018,Mainichi Shimbun,10,CDP
12/16/2018,Kyodo News,11.5,CDP
12/16/2018,Asahi Shimbun,8,CDP
12/16/2018,ANN,8.6015625,CDP
12/25/2018,Asahi Shimbun,8,CDP
1/13/2019,Kyodo News,9.203125,CDP
1/13/2019,JNN,5.19921875,CDP
1/14/2019,Jiji Press,4.19921875,CDP
1/14/2019,NHK,6,CDP
1/20/2019,Asahi Shimbun,7,CDP
1/27/2019,Yomiuri Shimbun,6,CDP
1/27/2019,Nikkei & TV Tokyo,9,CDP
1/27/2019,ANN,7.1015625,CDP
2/3/2019,JNN,6.30078125,CDP
2/3/2019,Mainichi Shimbun,9,CDP
2/3/2019,Kyodo News,8.6015625,CDP
2/11/2019,Jiji Press,3.400390625,CDP
2/11/2019,NHK,5.69921875,CDP
2/17/2019,Nikkei & TV Tokyo,9,CDP
2/17/2019,Asahi Shimbun,6,CDP
2/24/2019,Yomiuri Shimbun,6,CDP
2/24/2019,ANN,9.8984375,CDP
3/3/2019,JNN,5.69921875,CDP
3/10/2019,NHK,5.5,CDP
3/10/2019,Kyodo News,10.5,CDP
3/11/2019,Jiji Press,4.30078125,CDP
3/17/2019,Mainichi Shimbun,9,CDP
3/17/2019,Asahi Shimbun,5,CDP
3/17/2019,ANN,10.296875,CDP
3/24/2019,Yomiuri Shimbun,4,CDP
3/24/2019,Nikkei & TV Tokyo,7,CDP
4/2/2019,Yomiuri Shimbun,3,CDP
4/2/2019,Kyodo News,7.8984375,CDP
4/7/2019,NHK,5.3984375,CDP
4/7/2019,JNN,4.69921875,CDP
4/8/2019,Jiji Press,4.30078125,CDP
4/14/2019,Mainichi Shimbun,8,CDP
4/14/2019,Asahi Shimbun,7,CDP
4/15/2019,Asahi Shimbun,7,CDP
4/21/2019,ANN,10.1015625,CDP
4/28/2019,Yomiuri Shimbun,4,CDP
5/2/2019,Kyodo News,7.80078125,CDP
5/12/2019,Nikkei & TV Tokyo,6,CDP
5/12/2019,JNN,6.30078125,CDP
5/12/2019,NHK,4.80078125,CDP
5/13/2019,Jiji Press,3.69921875,CDP
5/19/2019,ANN,9.8984375,CDP
5/19/2019,Mainichi Shimbun,8,CDP
5/19/2019,Yomiuri Shimbun,4,CDP
5/19/2019,Asahi Shimbun,5,CDP
5/19/2019,Kyodo News,9.796875,CDP
6/2/2019,JNN,4.5,CDP
6/9/2019,NHK,5.1015625,CDP
6/10/2019,Jiji Press,3.30078125,CDP
6/16/2019,Kyodo News,10.1015625,CDP
6/16/2019,Mainichi Shimbun,8,CDP
6/23/2019,Asahi Shimbun,5,CDP
6/23/2019,NHK,5.69921875,CDP
6/27/2019,Kyodo News,9.8984375,CDP
6/30/2019,Yomiuri Shimbun,5,CDP
6/30/2019,Nikkei & TV Tokyo,10,CDP
6/30/2019,NHK,5.80078125,CDP
7/5/2019,Yomiuri Shimbun,6,CDP
7/7/2019,NHK,6,CDP
7/7/2019,JNN,6.80078125,CDP
7/8/2019,Jiji Press,3.900390625,CDP
7/14/2019,Asahi Shimbun,6,CDP
7/15/2019,NHK,6,CDP
7/23/2019,Asahi Shimbun,10,CDP
7/23/2019,Kyodo News,13.5,CDP
7/23/2019,Yomiuri Shimbun,12,CDP
7/28/2019,Nikkei & TV Tokyo,11,CDP
8/4/2019,NHK,7.19921875,CDP
8/4/2019,JNN,7.80078125,CDP
8/12/2019,Jiji Press,5.80078125,CDP
8/18/2019,Kyodo News,10,CDP
8/18/2019,ANN,10,CDP
8/25/2019,Yomiuri Shimbun,7,CDP
9/1/2019,Nikkei & TV Tokyo,8,CDP
